Date,AirportName,PercentOfBaseline
2020-03-27,Detroit Metropolitan Wayne County,52.0
2020-03-27,Hartsfield-Jackson Atlanta International,70.0
2020-03-27,John F. Kennedy International,49.0
2020-03-27,LaGuardia,64.0
2020-03-27,Los Angeles International,69.0
2020-03-27,McCarran International,31.0
2020-03-27,Miami International,77.0
2020-03-27,Newark Liberty International,66.0
2020-03-27,San Francisco International,48.0
2020-03-27,Seattle-Tacoma International,67.0
2020-03-27,Washington Dulles International,57.0
2020-03-28,Boston Logan International,70.0
2020-03-28,Charlotte Douglas International,42.0
2020-03-28,Chicago OHare International,68.0
2020-03-28,Dallas/Fort Worth International,64.0
2020-03-28,Daniel K. Inouye International,99.0
2020-03-28,Denver International,60.0
2020-03-28,Detroit Metropolitan Wayne County,48.0
2020-03-28,Hartsfield-Jackson Atlanta International,77.0
2020-03-28,John F. Kennedy International,60.0
2020-03-28,LaGuardia,58.0
2020-03-28,Los Angeles International,66.0
2020-03-28,McCarran International,16.0
2020-03-28,Miami International,54.0
2020-03-28,Newark Liberty International,61.0
2020-03-28,San Francisco International,55.0
2020-03-28,Seattle-Tacoma International,59.0
2020-03-28,Washington Dulles International,48.0
2020-03-29,Boston Logan International,68.0
2020-03-29,Charlotte Douglas International,50.0
2020-03-29,Chicago OHare International,61.0
2020-03-29,Dallas/Fort Worth International,49.0
2020-03-29,Daniel K. Inouye International,90.0
2020-03-29,Denver International,52.0
2020-03-29,Detroit Metropolitan Wayne County,45.0
2020-03-29,Hartsfield-Jackson Atlanta International,60.0
2020-03-29,John F. Kennedy International,57.0
2020-03-29,LaGuardia,55.0
2020-03-29,Los Angeles International,58.0
2020-03-29,McCarran International,12.0
2020-03-29,Miami International,52.0
2020-03-29,Newark Liberty International,73.0
2020-03-29,San Francisco International,45.0
2020-03-29,Seattle-Tacoma International,61.0
2020-03-29,Washington Dulles International,42.0
2020-03-30,Boston Logan International,63.0
2020-03-30,Charlotte Douglas International,77.0
2020-03-30,Chicago OHare International,71.0
2020-03-30,Dallas/Fort Worth International,56.0
2020-03-30,Daniel K. Inouye International,100.0
2020-03-30,Denver International,55.0
2020-03-30,Detroit Metropolitan Wayne County,46.0
2020-03-30,Hartsfield-Jackson Atlanta International,65.0
2020-03-30,John F. Kennedy International,45.0
2020-03-30,LaGuardia,72.0
2020-03-30,Los Angeles International,69.0
2020-03-30,McCarran International,38.0
2020-03-30,Miami International,62.0
2020-03-30,Newark Liberty International,68.0
2020-03-30,San Francisco International,49.0
2020-03-30,Seattle-Tacoma International,50.0
2020-03-30,Washington Dulles International,54.0
2020-03-31,Boston Logan International,71.0
2020-03-31,Charlotte Douglas International,80.0
2020-03-31,Chicago OHare International,77.0
2020-03-31,Dallas/Fort Worth International,68.0
2020-03-31,Daniel K. Inouye International,92.0
2020-03-31,Denver International,59.0
2020-03-31,Detroit Metropolitan Wayne County,52.0
2020-03-31,Hartsfield-Jackson Atlanta International,66.0
2020-03-31,John F. Kennedy International,47.0
2020-03-31,LaGuardia,62.0
2020-03-31,Los Angeles International,70.0
2020-03-31,McCarran International,44.0
2020-03-31,Miami International,68.0
2020-03-31,Newark Liberty International,61.0
2020-03-31,San Francisco International,46.0
2020-03-31,Seattle-Tacoma International,64.0
2020-03-31,Washington Dulles International,57.0
2020-04-01,Boston Logan International,66.0
2020-04-01,Charlotte Douglas International,71.0
2020-04-01,Chicago OHare International,72.0
2020-04-01,Dallas/Fort Worth International,65.0
2020-04-01,Daniel K. Inouye International,90.0
2020-04-01,Denver International,56.0
2020-04-01,Detroit Metropolitan Wayne County,52.0
2020-04-01,Hartsfield-Jackson Atlanta International,71.0
2020-04-01,John F. Kennedy International,49.0
2020-04-01,LaGuardia,59.0
2020-04-01,Los Angeles International,65.0
2020-04-01,McCarran International,40.0
2020-04-01,Miami International,68.0
2020-04-01,Newark Liberty International,64.0
2020-04-01,San Francisco International,54.0
2020-04-01,Seattle-Tacoma International,65.0
2020-04-01,Washington Dulles International,57.0
2020-04-02,Boston Logan International,60.0
2020-04-02,Charlotte Douglas International,65.0
2020-04-02,Chicago OHare International,74.0
2020-04-02,Dallas/Fort Worth International,69.0
2020-04-02,Daniel K. Inouye International,88.0
2020-04-02,Denver International,48.0
2020-04-02,Detroit Metropolitan Wayne County,48.0
2020-04-02,Hartsfield-Jackson Atlanta International,67.0
2020-04-02,John F. Kennedy International,46.0
2020-04-02,LaGuardia,58.0
2020-04-02,Los Angeles International,70.0
2020-04-02,McCarran International,43.0
2020-04-02,Miami International,57.0
2020-04-02,Newark Liberty International,64.0
2020-04-02,San Francisco International,47.0
2020-04-02,Seattle-Tacoma International,55.0
2020-04-02,Washington Dulles International,39.0
2020-04-03,Boston Logan International,56.0
2020-04-03,Charlotte Douglas International,64.0
2020-04-03,Chicago OHare International,68.0
2020-04-03,Dallas/Fort Worth International,66.0
2020-04-03,Daniel K. Inouye International,83.0
2020-04-03,Denver International,49.0
2020-04-03,Detroit Metropolitan Wayne County,49.0
2020-04-03,Hartsfield-Jackson Atlanta International,59.0
2020-04-03,John F. Kennedy International,42.0
2020-04-03,LaGuardia,55.0
2020-04-03,Los Angeles International,63.0
2020-04-03,McCarran International,29.0
2020-04-03,Miami International,66.0
2020-04-03,Newark Liberty International,67.0
2020-04-03,San Francisco International,41.0
2020-04-03,Seattle-Tacoma International,60.0
2020-04-03,Washington Dulles International,51.0
2020-04-04,Boston Logan International,63.0
2020-04-04,Charlotte Douglas International,31.0
2020-04-04,Chicago OHare International,61.0
2020-04-04,Dallas/Fort Worth International,52.0
2020-04-04,Daniel K. Inouye International,90.0
2020-04-04,Denver International,39.0
2020-04-04,Detroit Metropolitan Wayne County,51.0
2020-04-04,Hartsfield-Jackson Atlanta International,58.0
2020-04-04,John F. Kennedy International,52.0
2020-04-04,LaGuardia,61.0
2020-04-04,Los Angeles International,55.0
2020-04-04,McCarran International,18.0
2020-04-04,Miami International,59.0
2020-04-04,Newark Liberty International,59.0
2020-04-04,San Francisco International,34.0
2020-04-04,Seattle-Tacoma International,45.0
2020-04-04,Washington Dulles International,40.0
2020-04-05,Boston Logan International,63.0
2020-04-05,Charlotte Douglas International,49.0
2020-04-05,Chicago OHare International,41.0
2020-04-05,Dallas/Fort Worth International,43.0
2020-04-05,Daniel K. Inouye International,100.0
2020-04-05,Denver International,30.0
2020-04-05,Detroit Metropolitan Wayne County,48.0
2020-04-05,Hartsfield-Jackson Atlanta International,48.0
2020-04-05,John F. Kennedy International,63.0
2020-04-05,LaGuardia,61.0
2020-04-05,Los Angeles International,46.0
2020-04-05,McCarran International,12.0
2020-04-05,Miami International,45.0
2020-04-05,Newark Liberty International,61.0
2020-04-05,San Francisco International,26.0
2020-04-05,Seattle-Tacoma International,44.0
2020-04-05,Washington Dulles International,32.0
2020-04-06,Boston Logan International,66.0
2020-04-06,Charlotte Douglas International,73.0
2020-04-06,Chicago OHare International,70.0
2020-04-06,Dallas/Fort Worth International,69.0
2020-04-06,Daniel K. Inouye International,100.0
2020-04-06,Denver International,46.0
2020-04-06,Detroit Metropolitan Wayne County,39.0
2020-04-06,Hartsfield-Jackson Atlanta International,56.0
2020-04-06,John F. Kennedy International,45.0
2020-04-06,LaGuardia,62.0
2020-04-06,Los Angeles International,55.0
2020-04-06,McCarran International,38.0
2020-04-06,Miami International,59.0
2020-04-06,Newark Liberty International,74.0
2020-04-06,San Francisco International,37.0
2020-04-06,Seattle-Tacoma International,54.0
2020-04-06,Washington Dulles International,60.0
2020-04-07,Boston Logan International,62.0
2020-04-07,Charlotte Douglas International,62.0
2020-04-07,Chicago OHare International,70.0
2020-04-07,Dallas/Fort Worth International,69.0
2020-04-07,Daniel K. Inouye International,89.0
2020-04-07,Denver International,48.0
2020-04-07,Detroit Metropolitan Wayne County,54.0
2020-04-07,Hartsfield-Jackson Atlanta International,63.0
2020-04-07,John F. Kennedy International,44.0
2020-04-07,LaGuardia,51.0
2020-04-07,Los Angeles International,59.0
2020-04-07,McCarran International,52.0
2020-04-07,Miami International,67.0
2020-04-07,Newark Liberty International,66.0
2020-04-07,San Francisco International,38.0
2020-04-07,Seattle-Tacoma International,61.0
2020-04-07,Washington Dulles International,53.0
2020-04-08,Boston Logan International,65.0
2020-04-08,Charlotte Douglas International,66.0
2020-04-08,Chicago OHare International,72.0
2020-04-08,Dallas/Fort Worth International,68.0
2020-04-08,Daniel K. Inouye International,86.0
2020-04-08,Denver International,54.0
2020-04-08,Detroit Metropolitan Wayne County,49.0
2020-04-08,Hartsfield-Jackson Atlanta International,62.0
2020-04-08,John F. Kennedy International,41.0
2020-04-08,LaGuardia,54.0
2020-04-08,Los Angeles International,62.0
2020-04-08,McCarran International,42.0
2020-04-08,Miami International,64.0
2020-04-08,Newark Liberty International,63.0
2020-04-08,San Francisco International,50.0
2020-04-08,Seattle-Tacoma International,65.0
2020-04-08,Washington Dulles International,55.0
2020-04-09,Boston Logan International,53.0
2020-04-09,Charlotte Douglas International,67.0
2020-04-09,Chicago OHare International,71.0
2020-04-09,Dallas/Fort Worth International,60.0
2020-04-09,Daniel K. Inouye International,88.0
2020-04-09,Denver International,45.0
2020-04-09,Detroit Metropolitan Wayne County,47.0
2020-04-09,Hartsfield-Jackson Atlanta International,65.0
2020-04-09,John F. Kennedy International,43.0
2020-04-09,LaGuardia,56.0
2020-04-09,Los Angeles International,55.0
2020-04-09,McCarran International,31.0
2020-04-09,Miami International,67.0
2020-04-09,Newark Liberty International,73.0
2020-04-09,San Francisco International,38.0
2020-04-09,Seattle-Tacoma International,49.0
2020-04-09,Washington Dulles International,48.0
2020-04-10,Boston Logan International,57.0
2020-04-10,Charlotte Douglas International,40.0
2020-04-10,Chicago OHare International,66.0
2020-04-10,Dallas/Fort Worth International,55.0
2020-04-10,Daniel K. Inouye International,79.0
2020-04-10,Denver International,45.0
2020-04-10,Detroit Metropolitan Wayne County,46.0
2020-04-10,Hartsfield-Jackson Atlanta International,61.0
2020-04-10,John F. Kennedy International,37.0
2020-04-10,LaGuardia,56.0
2020-04-10,Los Angeles International,60.0
2020-04-10,McCarran International,28.0
2020-04-10,Miami International,56.0
2020-04-10,Newark Liberty International,67.0
2020-04-10,San Francisco International,37.0
2020-04-10,Seattle-Tacoma International,52.0
2020-04-10,Washington Dulles International,46.0
2020-04-11,Boston Logan International,60.0
2020-04-11,Charlotte Douglas International,37.0
2020-04-11,Chicago OHare International,67.0
2020-04-11,Dallas/Fort Worth International,49.0
2020-04-11,Daniel K. Inouye International,77.0
2020-04-11,Denver International,27.0
2020-04-11,Detroit Metropolitan Wayne County,54.0
2020-04-11,Hartsfield-Jackson Atlanta International,61.0
2020-04-11,John F. Kennedy International,52.0
2020-04-11,LaGuardia,60.0
2020-04-11,Los Angeles International,52.0
2020-04-11,McCarran International,14.0
2020-04-11,Miami International,48.0
2020-04-11,Newark Liberty International,55.0
2020-04-11,San Francisco International,25.0
2020-04-11,Seattle-Tacoma International,42.0
2020-04-11,Washington Dulles International,29.0
2020-04-12,Boston Logan International,60.0
2020-04-12,Charlotte Douglas International,38.0
2020-04-12,Chicago OHare International,40.0
2020-04-12,Dallas/Fort Worth International,31.0
2020-04-12,Daniel K. Inouye International,93.0
2020-04-12,Denver International,15.0
2020-04-12,Detroit Metropolitan Wayne County,50.0
2020-04-12,Hartsfield-Jackson Atlanta International,42.0
2020-04-12,John F. Kennedy International,62.0
2020-04-12,LaGuardia,59.0
2020-04-12,Los Angeles International,43.0
2020-04-12,McCarran International,14.0
